CustAcct,CustomerName,ItemCode,ItemType,ItemDescription,ItemExtendedDescription,ItemCategory,CategoryDescription,ItemSubCat,SubCatDescription,SalesClass,CPTaxFlag,CPComFlag,PriceUnit,ListPrice,CurrentPrice,PriceOpt,PriceSource,CurPriceMargin,CurRebateFlag,CurRebateCost,LastPricePaid,LastPriceMargin,LastQtyOrdered,StockUnit,VMIParStock,FirstSaleDate,LastSaleDate,NextSaleDate,CPPrintOnOrderForm,CPPriceOptDesc,CPPriceCtrl,CPPriceOpt,CPPriceBrkt,CPPricePct,CPSpecialPrice,SpecialPriceChgFlag,SpecialPriceMargin,CPNotesDate,CPNotes1,CPNotes2,CPNotes3,CPNotesAddToOrder,MSDSReqdFlag,MSDSCode,MSDSDescription,MSDSDueFlag,MSDSSentFlag,MSDSSentDate,CorpMaxOrderQty,CorpCurrentBudgetQty,CorpLastBudgetQty,SalesmanName,SupplierAcct,SmanCode,SupplierName,CustomerPartNum,SupplierPartNum,JMCatItemFlag,PricingClassDesc,PricingClassCode,CustID,ItemID,ItemSubCatID,SmanID,VendorID,,
100000,RANDY FRONTZ,HD-REN06148-CS,I,PREMIUM BATH TISSUE 2 PLY 80/C,550 PER ROLL,0,,100-F,PAPER TOILET TISSUE,,Y,Y,CS,119.29,39.93,S,S    CProd,-34.4353,N,0,39.93,-12.3967,1,CS,0,5/17/2018,7/27/2022,11/13/2022,Y,Use Special Price,S,S,,0,39.93,+,0,,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,AMSAN100,10,THE HOME DEPOT PRO INSTITUTIONAL,,REN06148,Y,(UnAssigned),,10001,111615,595,11,10432,,
100000,RANDY FRONTZ,HD-REN06000-CS,I,RENOWN C FOLD TOWEL 16/150/CS,,0,,100-C,PAPER MULTIFOLD TOWEL WHITE,,Y,Y,CS,88.49,39.82,P0,P0   CProd,0,N,0,39.82,0,1,CS,0,6/3/2024,4/6/2026,9/21/2026,Y,0% Profit Margin,P0,P,,0,0,+,0,5/21/2024,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,AMSAN100,10,THE HOME DEPOT PRO INSTITUTIONAL,,REN06000-WB,N,(UnAssigned),,10001,111627,592,11,10432,,
100000,RANDY FRONTZ,ID-VBTTST4375-CS,I,VB TOILET TISSUE 2PLY,4X3.7 96/500,0,,100-F,PAPER TOILET TISSUE,,Y,Y,CS,99.93,49.97,P10,P10  CProd,10.006,N,0,49.97,10.006,1,CS,0,11/4/2025,2/16/2026,4/9/2026,Y,,P10,P,,10,0,+,0,,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,DADEP100,10,DADE PAPER,,VBTTST4375,Y,(UnAssigned),,10001,112394,595,11,10306,,
100001,UNLIMITED FLORIDA SALES,BOX-242424-EA,I,CORRUGATED BOX 24X24X24,,0,,340-A,BOXES CORRUGATED CARTON,,N,Y,EA,7.49,2.43,S,S    CProd,-54.1687,N,0,2.43,0,2,EA,0,4/27/2009,4/27/2009,,Y,Use Special Price,S,S,,0,2.43,+,-6.9959,,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,BOXPAC,10,"BOX ACQUISITIONS, LLC",,242424,Y,(UnAssigned),,10002,104376,722,11,10067,,
100001,UNLIMITED FLORIDA SALES,ID-CM02024S-EA,I,#24 4-PLY COTTON MOPHEAD,,0,,110-A,MOPS,,N,Y,EA,4.31,4,P30,P30  CProd,30,N,0,,,,EA,0,,,,Y,30% Profit Margin,P30,P,,30,0,+,0,2/26/2025,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,DADEP100,10,DADE PAPER,,D07660,Y,(UnAssigned),,10002,104772,692,11,10306,,
100001,UNLIMITED FLORIDA SALES,BW-AW-3500-CS,I,12.5X13 1/4 FOLD WHITE WIPER,18 PACKS OF 56,0,,100-H,PAPER WIPERS,,N,Y,CS,110,70.71,P30,P30  CProd,29.9958,N,0,,,,CS,0,,,,Y,30% Profit Margin,P30,P,,30,0,+,0,2/26/2025,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,BERWIP,10,BERK WIPER CONVERTING,,DRC-3500-9,Y,(UnAssigned),,10002,105028,614,11,10062,,
100001,UNLIMITED FLORIDA SALES,ID-16J16-CS,I,16oz WHITE FOAM CUP(16SL),DART 1000/CS,0,,220-A,CUPS FOAM,,N,Y,CS,125.38,81.29,P30,P30  CProd,30.0037,N,0,0,0,1,CS,0,5/6/2019,5/6/2019,,Y,30% Profit Margin,P30,P,,30,0,+,0,,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,DADEP100,10,DADE PAPER,,81163,Y,(UnAssigned),,10002,105042,653,11,10306,,
100001,UNLIMITED FLORIDA SALES,WP-18-80-CS,I,STRETCH FILM 20.3 MIC X 1500',4/CS,0,,350-D,STRETCH FILM HAND,,N,Y,CS,101.62,0,S,S    CProd,0,N,0,0,0,1,CS,0,5/31/2024,5/31/2024,,Y,Use Special Price,S,S,,0,0,+,0,,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,WESPLA,10,WESTERN PLASTICS,,PSF03,Y,(UnAssigned),,10002,105434,738,11,10229,,
100001,UNLIMITED FLORIDA SALES,SB-BLEACH-CS,I,HOUSEHOLD BLEACH 6% 6/1GL,128oz,0,,130-M,CHEMICAL BLEACH,,N,Y,CS,38.8,27.71,P30,P30  CProd,29.9892,N,0,,,,CS,0,,,,Y,30% Profit Margin,P30,P,,30,0,+,0,2/26/2025,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,DADEP100,10,DADE PAPER,,G00077,Y,(UnAssigned),,10002,106038,635,11,10306,,
100001,UNLIMITED FLORIDA SALES,ID-PLD00046-CS,I,POWDERED LAUNDRY DETERGENT,DETERGENT 50 LB,0,,130-C,CHEMICAL LAUNDRY DETERGENT,,N,Y,EA,70.8,60.69,P30,P30  CProd,30.0049,N,0,,,,EA,0,,,,Y,30% Profit Margin,P30,P,,30,0,+,0,2/26/2025,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,DADEP100,10,DADE PAPER,,G00046,Y,(UnAssigned),,10002,106356,621,11,10306,,
